batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Chris Taylor,621035,35,0.14427744444444446,0.1485,0.17750000000000002,78.81666666666666,0.0,-1.243300174830353
Christian Koss,683766,44,0.3641272954545455,0.2633203125,0.4876484375,80.05,0.06818181818181818,0.08965622756745682
Christian Moore,695681,110,0.2756084347826087,0.39384615384615385,0.4715384615384615,84.9076923076923,0.07272727272727272,0.04048245052696374
Christian Vázquez,543877,53,0.3499346561403509,0.31469473684210525,0.43388947368421055,83.6625,0.05660377358490566,0.11588726392167285
Christian Walker,572233,80,0.4614370668070668,0.3944143234793235,0.8959226658151658,85.61818181818182,0.1625,1.291210352630238
Christian Yelich,592885,94,0.22682547826086957,0.1971966666666667,0.3979066666666667,84.58235294117648,0.05319148936170213,-0.42133597861972494
Christopher Morel,666624,39,0.3758977,0.37701142857142855,0.6795085714285714,87.46666666666667,0.15384615384615385,0.8531103119059616
Coby Mayo,691723,58,0.43308042232277527,0.31981,0.7671165384615385,81.84285714285714,0.10344827586206896,0.7396730449628066
Cody Bellinger,641355,104,0.3488454615384615,0.29794117647058826,0.3521764705882353,80.66060606060607,0.04807692307692308,-0.0753133060458551
Cody Freeman,683227,76,0.19833333333333336,0.3399090909090909,0.38863636363636367,74.72,0.013157894736842105,-0.8202385606067962
Colby Thomas,687515,56,0.22510692857142858,0.4824,0.6424,82.17692307692307,0.03571428571428571,-0.13475246836508303
Cole Young,702284,42,0.2606612828282828,0.21853030303030305,0.42683333333333323,81.36,0.023809523809523808,-0.45277258356779904
Colson Montgomery,695657,98,0.47662814075815396,0.45838400189959494,1.1035621734666718,86.78823529411765,0.14285714285714285,1.5181945504146517
Colton Cowser,681297,106,0.31658558067689885,0.3100737898465171,0.7524494293585202,80.45384615384616,0.03773584905660377,0.0681218483947976
Connor Kaiser,663731,17,0.0,0.3088236077868225,0.5274441007943793,88.35,0.0,-1.077929950939882
Connor Norby,681393,84,0.3386829134199134,0.3249059523809524,0.6107452380952381,81.25333333333333,0.05952380952380952,0.14952145166512026
Connor Wong,657136,23,0.3108323333333333,0.253,0.28500000000000003,72.56666666666666,0.043478260869565216,-0.5455088590822424
