pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
Keider Montero,672456,76,0.2901339869281046,0.25,0.627644385026738,74.72857142857143,0.05263157894736842,0.09210526315789473,0.0,0.41439362536401664
Kenley Jansen,445276,27,0.007166666666666666,0.0,0.064,72.75833333333334,0.0,0.18518518518518517,0.0,2.3722844536447427
Kevin Gausman,592332,175,0.3156999414893617,0.40744680851063825,0.5537493252840909,82.29824561403508,0.09142857142857143,0.06857142857142857,0.017142857142857144,-0.06091902981031053
Kevin Herget,643361,15,0.23375,0.3125,0.373,81.38,0.06666666666666667,0.06666666666666667,0.0,0.429799711885446
Kevin Kelly,687330,60,0.5628946760057472,0.675,1.296587042842215,87.63809523809525,0.13333333333333333,0.06666666666666667,0.016666666666666666,-1.545389599072552
Kody Funderburk,681892,54,0.12318181818181818,0.16363636363636364,0.258,78.1470588235294,0.05555555555555555,0.09259259259259259,0.0,1.11177759681166
Kolby Allard,663465,44,0.1829340909090909,0.0,0.4204805194805195,82.66000000000001,0.045454545454545456,0.06818181818181818,0.0,0.6091937405071538
Konnor Pilkington,663455,19,0.6451666666666667,0.7833333333333333,1.5061875,92.60000000000001,0.21052631578947367,0.10526315789473684,0.0,-1.9872104912807815
Kyle Bradish,680694,69,0.30384984520123837,0.32941176470588235,0.8096549707602338,80.5,0.043478260869565216,0.11594202898550725,0.0,0.29196879534791165
Kyle Finnegan,640448,44,0.3764166666666667,0.43333333333333335,0.5763,86.67222222222222,0.1590909090909091,0.045454545454545456,0.0,-0.6249442100598742
Kyle Freeland,607536,87,0.35744914049586773,0.20454545454545456,0.6698448529411766,84.796875,0.11494252873563218,0.04597701149425287,0.011494252873563218,-0.4888576082693349
Kyle Harrison,690986,65,0.34986794736842103,0.4605263157894737,0.5801999999999999,80.0909090909091,0.09230769230769231,0.09230769230769231,0.046153846153846156,-0.08625170537109553
